SetID	Name	XID
Cer	Cer	Cer_795.57742_4.56
Cer	Cer	Cer_799.60958_5.56
Cer	Cer	Cer_807.5767_4.62
Cer	Cer	Cer_817.59727_4.64
Cer	Cer	Cer_819.61456_4.89
Cer	Cer	Cer_823.64396_6.58
Cer	Cer	Cer_831.57655_4.73
Cer	Cer	Cer_835.60776_5.18
Cer	Cer	Cer_841.65566_6.78
Cer	Cer	Cer_847.6453_5.85
Cer	Cer	Cer_855.67035_6.94
Cer	Cer	Cer_859.60747_4.51
Cer	Cer	Cer_863.78382_8.93
Cer	Cer	Cer_869.74715_8.09
Cer	Cer	Cer_880.75191_8.33
Cer	Cer	Cer_887.79422_8.88
Cer	Cer	Cer_893.68659_7.01
Cer	Cer	Cer_901.56691_3.84
Cer	Cer	Cer_909.77703_8.35
Cer	Cer	Cer_919.76309_7.91
Cer	Cer	Cer_927.81567_8.83
Cer	Cer	Cer_947.8875_9.78
DG	DG	DG_217.13125_0.82
DG	DG	DG_331.23538_0.89
DG	DG	DG_369.28766_1.33
DG	DG	DG_395.30334_1.42
DG	DG	DG_415.32939_1.64
DG	DG	DG_441.38129_2.44
DG	DG	DG_467.30104_1.6
DG	DG	DG_507.33215_1.94
DG	DG	DG_521.34804_2.13
DG	DG	DG_541.31441_1.55
DG	DG	DG_567.33198_1.75
DG	DG	DG_603.42595_2.77
DG	DG	DG_619.58991_6.67
DG	DG	DG_639.57976_6.94
DG	DG	DG_661.56385_6.61
DG	DG	DG_672.52054_3.11
DG	DG	DG_700.55218_3.62
DG	DG	DG_716.5827_4.54
DG	DG	DG_727.51507_3.46
DG	DG	DG_732.61429_5.3
DG	DG	DG_743.58215_4.96
DG	DG	DG_747.61416_6.51
DG	DG	DG_754.59821_4.35
DG	DG	DG_767.54599_5.01
DG	DG	DG_770.63102_5.4
DG	DG	DG_775.64494_6.92
DG	DG	DG_783.57751_3.87
DG	DG	DG_787.60964_6.59
DG	DG	DG_791.54606_3.81
DG	DG	DG_795.57767_4.72
DG	DG	DG_799.6444_6.82
DG	DG	DG_807.57672_4.49
DG	DG	DG_817.59727_5.32
DG	DG	DG_819.73128_8.29
DG	DG	DG_823.76268_9.08
DG	DG	DG_831.73116_8.1
DG	DG	DG_835.60796_5.49
DG	DG	DG_842.72376_7.29
DG	DG	DG_847.64556_6.43
DG	DG	DG_856.75221_8.68
DG	DG	DG_859.76278_8.48
DG	DG	DG_863.79358_9.26
DG	DG	DG_871.7027_7.3
DG	DG	DG_880.75225_8.54
DG	DG	DG_887.79429_8.8
DG	DG	DG_893.73896_7.76
DG	DG	DG_901.80005_8.84
DG	DG	DG_910.55566_4.32
DG	DG	DG_919.85657_9.63
DG	DG	DG_929.84051_9.39
DG	DG	DG_951.82403_8.91
PC	PC	PC_231.14685_0.82
PC	PC	PC_339.2406_0.99
PC	PC	PC_371.30319_1.57
PC	PC	PC_397.31882_1.89
PC	PC	PC_421.31879_1.59
PC	PC	PC_445.31889_1.53
PC	PC	PC_467.39708_2.49
PC	PC	PC_509.34813_2.24
PC	PC	PC_523.36364_2.32
PC	PC	PC_543.33212_1.81
PC	PC	PC_567.55933_6.32
PC	PC	PC_605.44197_3.15
PC	PC	PC_619.59001_6.77
PC	PC	PC_640.50589_5.15
PC	PC	PC_661.56391_6.47
PC	PC	PC_672.58462_9.21
PC	PC	PC_702.56722_4.16
PC	PC	PC_717.53063_3.94
PC	PC	PC_727.51508_3.67
PC	PC	PC_733.56146_4.21
PC	PC	PC_743.58285_5.5
PC	PC	PC_749.53541_4.92
PC	PC	PC_755.54622_3.83
PC	PC	PC_767.54662_3.97
PC	PC	PC_771.57792_4.85
PC	PC	PC_779.5456_4.13
PC	PC	PC_783.5802_5.19
PC	PC	PC_788.67751_6.79
PC	PC	PC_791.58241_4.24
PC	PC	PC_795.73096_8.65
