mz	time	Subject1TP0	Subject1TP1	Subject1TP2	Subject1TP3	Subject2TP0	Subject2TP1	Subject2TP2	Subject2TP3	Subject3TP0	Subject3TP1	Subject3TP2	Subject3TP3	Subject4TP0	Subject4TP1	Subject4TP2	Subject4TP3	Subject5TP0	Subject5TP1	Subject5TP2	Subject5TP3	Subject6TP0	Subject6TP1	Subject6TP2	Subject6TP3	Subject7TP0	Subject7TP1	Subject7TP2	Subject7TP3	Subject8TP0	Subject8TP1	Subject8TP2	Subject8TP3	Subject9TP0	Subject9TP1	Subject9TP2	Subject9TP3	Subject10TP0	Subject10TP1	Subject10TP2	Subject10TP3	Subject11TP0	Subject11TP1	Subject11TP2	Subject11TP3	Subject12TP0	Subject12TP1	Subject12TP2	Subject12TP3	Subject13TP0	Subject13TP1	Subject13TP2	Subject13TP3	Subject14TP0	Subject14TP1	Subject14TP2	Subject14TP3	Subject15TP0	Subject15TP1	Subject15TP2	Subject15TP3	Subject16TP0	Subject16TP1	Subject16TP2	Subject16TP3	Subject17TP0	Subject17TP1	Subject17TP2	Subject17TP3	Subject18TP0	Subject18TP1	Subject18TP2	Subject18TP3
516.29993	32.15	21.75	411.1	316.15	175.73	0	376.12	316.3	173	31.15	380.69	366.43	109.74	0	394.17	321.48	166.23	23.43	418.76	350.55	158.45	15.15	426.13	343.26	156.47	97.07	367.94	344.12	149.89	100.62	388.15	363.32	132.11	86.96	405.61	334.63	114.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.14	0	9.11	0	0	0
377.14538	60.5	30.23	47.71	41.86	0	45.94	0	60.72	0	0	97.64	53.35	38.37	0	69.22	0	32.96	0	68.89	60.93	61.67	30.72	63.36	0	78.44	98.62	91.52	0	0	97.48	63.7	39.24	0	121.87	73.78	40.52	37.55	80.15	126.37	185.72	170.14	90.02	139.53	212.28	163.51	63.32	162.08	206.77	217.67	68.52	154.85	201.61	192.38	69.71	146.12	192.51	178.85	99.43	163.91	338.02	310.81	78.92	173.96	341.27	258.84	89.3	125.51	171.94	135.38	66.67	119.69	124.33	169.9
258.1096	129.21	313.52	70.55	271.44	97.68	416.05	369.56	280.83	112.35	89.26	398.31	0	127.24	86.85	416.48	82.46	116.23	116.03	395.57	166.71	257.36	107.24	388.24	137.81	270.73	683.28	522.34	88.72	147.53	690.63	575.52	100.99	156.21	747.57	510.06	91.85	0	605.41	1114.78	1458.21	1397.34	595.15	1092.41	1455.9	1325	580.77	1184.25	1529.71	1590.03	546.46	1111.77	1523.43	1617.89	554.19	1138.62	1481.47	1542.8	672.33	1265.41	2965.32	2347.66	684	1278.12	2949.52	2355.49	561.03	1003.89	1288.04	1016.67	565.46	1058.49	1264.16	1084.47
446.17791	79.26	138.71	490.89	418.5	332.65	203.43	446.22	383.89	300.59	191.47	395.23	509.26	305.2	196.24	415.26	495.4	299.04	243.45	423.12	465.09	278.63	239.57	477.55	444.63	294.11	160.77	428.83	472.5	284.18	200.87	394.28	480.31	291.95	192.18	403.75	473.21	81.78	314.62	347.93	417.86	314.72	316.11	330.33	420.88	314.61	249.94	337.63	458.68	300.39	285.09	322.27	466.73	328.1	255.95	327.59	406.35	307.21	246.13	375.2	372.39	331.11	233.28	330.33	390.88	326.85	165.21	300.62	433.72	315.16	169.43	307.49	430.49	331.85
169.03547	123.12	178.79	507.85	862.91	494.27	208.22	497.43	790.64	495.92	215.7	460.53	1064.74	500.41	207.34	463.54	1099.95	529.81	215.56	567.29	990.69	549.57	213.48	476.37	1013.59	542.06	227.57	483.98	1024.81	512.59	239.22	528.8	1001.98	491.6	241	488.01	1052.97	473.88	339.41	560.55	581.57	676.28	289.03	549.34	606.26	671.34	282.76	563.75	632.31	643.34	281.76	526.48	649.03	648.47	298.58	521.9	635.4	619.39	275.54	558.32	558.95	624.32	303.63	561.31	553.77	638.07	250.56	493.7	646.77	672.25	249.88	464.74	625.33	710.8
257.24728	78.74	18.37	55.71	95.38	53.76	8.96	50.55	93.26	58.6	20.45	64.05	112.44	75.98	20.8	66.18	120.63	58.87	25.44	74.85	140.72	57.54	19.15	56.77	117.62	67.64	26.91	51.11	133.25	62.64	18.67	58.18	123.05	73.01	29.11	62.57	130.37	79.61	49.01	71.19	75.51	68.91	34.54	63.54	57.82	75	31.48	70.56	68.07	68.97	32.72	69.71	64.31	68.62	50.28	52.56	66.74	77.39	30.38	60.12	70.71	93.15	30.12	72.04	46.58	74.31	23.42	58.62	82.79	98.37	36.83	63.25	86.92	80.32
161.0196	80.16	182.46	314.15	152.9	103.13	210.51	333.34	167.25	119.48	128.34	396.9	104.1	140.5	128.55	350.19	88.71	118.92	106.18	344.59	134.45	158.42	107.68	328.48	131.87	193.93	541.13	485.23	76.24	149.39	519.25	144.89	105.29	185.61	525.76	465.53	88.2	175.72	0	0	0	0	0	0	0	0	18.51	0	0	45.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255.06537	122.85	0	1643.68	1308.31	914.95	807.21	1680.63	1262.35	942.46	581.7	1563.71	1134.37	923.03	611.03	1614.71	1166.86	964.04	174.13	1652.56	1315.09	940.92	572.66	1606.37	1337.77	954.09	2013.61	1578.94	839.43	773.62	2024.91	1637.21	1207.51	997.45	1909.59	1521.34	519.59	906.41	0	192.89	0	126.85	0	195.45	0	0	0	0	0	37.11	82.39	0	198.67	0	0	185.65	0	0	0	274.58	0	0	0	0	353.28	0	0	0	0	0	0	0	0	0
400.34156	112.93	0	41.86	79.45	58.69	15.71	38.33	94.6	31.08	14.37	47.37	91.59	36.16	8.02	46.09	98.17	39.81	8.94	32.35	97.01	40.19	12.72	33.18	92.36	38.35	0	27.2	90.25	39.04	0	36.94	73.69	34.72	13.34	43.96	109.28	42.54	22.19	36.04	61.59	57.51	40.21	42.73	44.05	48.85	16.02	38.03	40.25	49.76	28.42	39.96	53.32	51.56	0	35.48	45.59	51.9	19.57	44.27	41.42	50.41	14.15	45.77	37.01	46.48	23.17	32.22	45.1	74.7	19.54	35.07	49.56	69.65
181.20718	95.58	0	109.92	88.45	74.66	18.91	110.49	116.65	72.34	17.75	115.28	110.63	65.36	23.64	130.06	108.29	78.92	0	107.14	105.88	59.71	0	122.9	121.2	80.75	62.21	89.74	91.47	50.45	92.5	68.63	89.07	60.83	76.32	86.82	98.48	63.83	0	0	0	0	6.59	0	0	0	0	9.83	0	7.98	0	0	0	0	0	0	0	0	1.93	0	0	0	0	0	11.78	0	8.75	0	0	0	0	0	0	5.06
302.30514	101.55	0	113.54	104.8	0	78.93	104.47	117.71	0	44.41	108.92	107.15	66.4	0	108.36	119.97	53.58	29.5	101.22	117.03	83.61	0	98.24	101.79	43.5	76.41	103.25	113.31	63.05	85.99	90.65	106.64	70.91	96.85	76.04	116.26	51.05	0	0	0	0	0	0	0	0	0	0	0	35.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.62	0	19.05	0	0	0	0	0	12.59	0
